a433-microservices-item-db-1   | 2023-03-01T16:39:29.430762791Z 2023-03-01T16:39:29.424+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=0f6d796819e9
a433-microservices-item-db-1   | 2023-03-01T16:39:29.430835759Z 2023-03-01T16:39:29.430+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1   | 2023-03-01T16:39:29.430843357Z 2023-03-01T16:39:29.430+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1   | 2023-03-01T16:39:29.430848469Z 2023-03-01T16:39:29.430+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1   | 2023-03-01T16:39:29.430853435Z 2023-03-01T16:39:29.430+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1   | 2023-03-01T16:39:29.430858457Z 2023-03-01T16:39:29.430+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2023-03-01T16:39:29.430866315Z 2023-03-01T16:39:29.430+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2023-03-01T16:39:29.430873581Z 2023-03-01T16:39:29.430+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2023-03-01T16:39:29.430881217Z 2023-03-01T16:39:29.430+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1   | 2023-03-01T16:39:29.430888633Z 2023-03-01T16:39:29.430+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1   | 2023-03-01T16:39:29.430896274Z 2023-03-01T16:39:29.430+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1   | 2023-03-01T16:39:29.432157609Z 2023-03-01T16:39:29.431+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1   | 2023-03-01T16:39:29.432196258Z 2023-03-01T16:39:29.431+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1   | 2023-03-01T16:39:29.432206013Z 2023-03-01T16:39:29.431+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1   | 2023-03-01T16:39:29.432519920Z 2023-03-01T16:39:29.432+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=2533M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1   | 2023-03-01T16:39:31.510096280Z 2023-03-01T16:39:31.509+0000 I STORAGE  [initandlisten] WiredTiger message [1677688771:509636][1:0x7fbe73d25a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1   | 2023-03-01T16:39:31.576195847Z 2023-03-01T16:39:31.575+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-03-01T16:39:31.576250487Z 2023-03-01T16:39:31.575+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1   | 2023-03-01T16:39:31.576260430Z 2023-03-01T16:39:31.575+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1   | 2023-03-01T16:39:31.576268753Z 2023-03-01T16:39:31.575+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-03-01T16:39:31.576276426Z 2023-03-01T16:39:31.575+0000 I CONTROL  [initandlisten] 
